"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-2.2500274924459,2.50056617982497,0.13415910897913,"Converged",FALSE,7,63,1,29,0.99,0.01
1,0.9,"CC",-2.17567100728631,2.26938356298629,0.136501352760943,"Converged",FALSE,6,44,3,47,0.99,0.01
1,0.9,"BCC",-2.46149226098342,3.06280985110533,0.138372463670737,"Converged",FALSE,25,25,25,25,0.99,0.01
1,0.9,"RESID",-2.23179953364496,2.46660655574869,0.135024855178158,"Converged",FALSE,12,38,0,50,0.99,0.01
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,30,20,32,18,0.99,0.01
2,0.9,"SRS",-1.90445050118232,1.49198509615194,0.129874834319363,"Converged",FALSE,6,66,1,27,0.99,0.01
2,0.9,"CC",-1.70812751461886,0.851737799313947,0.127623150023845,"Converged",FALSE,5,45,5,45,0.99,0.01
2,0.9,"BCC",-1.85063858541407,1.25378157716731,0.128699700379677,"Converged",FALSE,25,25,25,25,0.99,0.01
2,0.9,"RESID",-2.04449740547799,1.83056681099225,0.130915429961568,"Converged",FALSE,12,38,1,49,0.99,0.01
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,32,18,40,10,0.99,0.01
3,0.9,"SRS",NA,NA,NA,"MAX_ITER reached",FALSE,3,73,3,21,0.99,0.01
3,0.9,"CC",-1.52257956066091,0.330358941975222,0.0953345973957461,"Converged",FALSE,6,44,7,43,0.99,0.01
3,0.9,"BCC",-1.74176801498658,1.08014615375412,0.0939387348897475,"Converged",FALSE,25,25,25,25,0.99,0.01
3,0.9,"RESID",-1.55439126860808,0.45565974203814,0.0947640612121749,"Converged",FALSE,7,43,3,47,0.99,0.01
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,36,14,33,17,0.99,0.01
4,0.9,"SRS",-2.38273818224444,2.94476124544447,0.124470904771157,"Converged",FALSE,4,66,0,30,0.99,0.01
4,0.9,"CC",-2.50095752787517,3.22618033860738,0.124245871622769,"Converged",FALSE,3,47,8,42,0.99,0.01
4,0.9,"BCC",-2.55659467089514,3.23602622854172,0.122088403953444,"Converged",FALSE,25,25,25,25,0.99,0.01
4,0.9,"RESID",-2.4962313440093,3.1159038260891,0.125006270554089,"Converged",FALSE,20,30,0,50,0.99,0.01
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,33,17,36,14,0.99,0.01
5,0.9,"SRS",-1.9365571062246,1.50997056093874,0.114663247711961,"Converged",FALSE,6,68,1,25,0.99,0.01
5,0.9,"CC",-2.00605599868685,1.83004620108006,0.113708015998591,"Converged",FALSE,3,47,4,46,0.99,0.01
5,0.9,"BCC",-2.12534654898218,2.06724528433376,0.115882794552206,"Converged",FALSE,27,27,20,26,0.99,0.01
5,0.9,"RESID",-1.96766512325375,1.64788765398668,0.113490174048761,"Converged",FALSE,11,39,0,50,0.99,0.01
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,23,27,19,31,0.99,0.01
6,0.9,"SRS",-1.82665651577585,1.32176434847072,0.104315146250677,"Converged",FALSE,9,69,4,18,0.99,0.01
6,0.9,"CC",-1.77400324799778,1.09039993156917,0.104971391510129,"Converged",FALSE,10,40,6,44,0.99,0.01
6,0.9,"BCC",-1.68083912149983,0.826355402292772,0.104418228913181,"Converged",FALSE,25,25,25,25,0.99,0.01
6,0.9,"RESID",-1.76169360736765,1.03015554709946,0.105697663952768,"Converged",FALSE,8,42,0,50,0.99,0.01
6,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,35,15,31,19,0.99,0.01
7,0.9,"SRS",-1.86960655616041,1.72556802555692,0.108368403851528,"Converged",FALSE,3,60,2,35,0.99,0.01
7,0.9,"CC",-1.93804233311621,2.01663234228711,0.108567906658549,"Converged",FALSE,1,49,3,47,0.99,0.01
7,0.9,"BCC",-1.89635753902251,1.84137051870473,0.108861891495318,"Converged",FALSE,26,25,24,25,0.99,0.01
7,0.9,"RESID",-1.88555822876655,1.81700990074849,0.108004693136752,"Converged",FALSE,14,36,0,50,0.99,0.01
7,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,27,23,24,26,0.99,0.01
8,0.9,"SRS",-2.07876662292602,2.36791747293437,0.106025280318764,"Converged",FALSE,7,64,3,26,0.99,0.01
8,0.9,"CC",-1.96244799120203,1.97320411076209,0.106517793125793,"Converged",FALSE,4,46,7,43,0.99,0.01
