"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr","design"
1,-1.29763530774019,2.72402047037014,-0.0259660558200301,"Converged",FALSE,-1.24985450633751,2.44743421382839,-0.0263684901994499,"Converged",FALSE,-1.44070027643758,3.16228816278975,-0.0261066046166088,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.24592709687178,2.6282274005976,-0.0265967381112694,"Converged",FALSE,0.95,0.05,"optMLE"
2,-0.164505368520723,-0.783408282213141,-0.0273736517755171,"Converged",FALSE,-0.373755653653038,-0.130960506885125,-0.0270691955723201,"Converged",FALSE,-0.150232933431752,-0.800776967448803,-0.0273934504348298,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
3,-0.354885943451299,0.684304142927403,-0.0354511560122575,"Converged",FALSE,-0.407401533026985,0.937624559309326,-0.0355209696731238,"Converged",FALSE,-0.460746891150626,0.997929443647579,-0.0354227103373732,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.283195507257825,0.532748899822642,-0.0358370069705346,"Converged",FALSE,0.95,0.05,"optMLE"
4,NA,NA,NA,"B-spline error",FALSE,-1.73876992979659,1.85268254205533,-0.00988747991177621,"Converged",FALSE,-1.85621558161364,1.99603760113461,-0.00921375101993194,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
5,-2.19599784697848,1.95990999290659,-0.00560668365303353,"Converged",FALSE,-2.63569516182816,3.38947670785454,-0.00489541528840492,"Converged",FALSE,-2.22936380897717,2.0471785685421,-0.0054535233369082,"Converged",FALSE,-1.86210037513402,0.926051822239407,-0.00549169698016263,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
6,-2.12994922863141,1.7421978523083,-0.00284762263998421,"Converged",FALSE,-2.02249766012548,1.35719937969262,-0.0030864835162393,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.99263188537616,1.27885773091622,-0.00341650078164599,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
7,-0.671706116703337,0.687012515406497,-0.0260025200834602,"Converged",FALSE,-0.552542615397948,0.284180811073822,-0.0259076796353896,"Converged",FALSE,-0.557177773999169,0.309709709628563,-0.0259200993375194,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.584286579682072,0.405893929369817,-0.0258254340767615,"Converged",FALSE,0.95,0.05,"optMLE"
8,-1.5930003300878,0.667147013914836,-0.0131590244563672,"Converged",FALSE,-1.73855550355035,1.25872369553187,-0.0133259894540069,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.90820846420114,1.67409768350484,-0.0131353436789535,"Converged",FALSE,-1.85092299375016,1.49587504855852,-0.0133488364334125,"Converged",FALSE,0.95,0.05,"optMLE"
9,-2.35110215552065,2.13741905567563,-2.25203648551381e-05,"Converged",FALSE,-2.49039412170723,2.546473342108,0.000259958120452221,"Converged",FALSE,-1.98333611258251,0.902682157205518,0.000242564007966297,"Converged",FALSE,-2.07407504155671,1.19475223952585,0.00023143837342174,"Converged",FALSE,-2.10655122478147,1.46033709604346,0.00024771893863438,"Converged",FALSE,0.95,0.05,"optMLE"
10,-1.25605663629117,1.45879978862088,-0.0170874754651612,"Converged",FALSE,-1.28228352631766,1.38280591680338,-0.0164239625054038,"Converged",FALSE,-1.25782775357013,1.3679525937438,-0.0166932307297776,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.12167592824561,0.944308601154633,-0.0168657640425328,"Converged",FALSE,0.95,0.05,"optMLE"
11,-1.6794676154902,0.516702518118073,-0.00255363134921426,"Converged",FALSE,-1.49888989860061,-0.0970408687431161,-0.00231021466230947,"Converged",FALSE,-1.63358386244561,0.352456884034369,-0.00237546940763199,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
12,-0.407253049257278,-1.40462733096059,-0.0207705909161043,"Converged",FALSE,-0.498290447772704,-1.10812577113694,-0.0205836975629156,"Converged",FALSE,-0.229763773179856,-1.88455617622833,-0.0208606616998496,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.95,0.05,"optMLE"
13,-1.07499233779899,1.47798145576754,-0.0279152752952246,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.897313293135125,0.859865013256014,-0.0278284513482666,"Converged",FALSE,0.95,0.05,"optMLE"
14,NA,NA,NA,"B-spline error",FALSE,-1.09067065683417,0.614100595077798,-0.0161096559555352,"Converged",FALSE,-1.80627340972948,3.03599544097086,-0.0177373891840865,"Converged",FALSE,-0.747878097772637,-0.546187811552995,-0.0155528611477412,"Converged",FALSE,-0.903043447394067,-0.0227782814280993,-0.0157893144554453,"Converged",FALSE,0.95,0.05,"optMLE"
15,-1.04185307807172,2.55098599356034,-0.0324793448127182,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.36755774574971,3.41963241676063,-0.0315827529514715,"Converged",FALSE,0.95,0.05,"optMLE"
16,-0.983953635924106,-0.47096727388503,-0.0122506533881542,"Converged",FALSE,-1.05909581056846,-0.187301230616493,-0.0124212012728221,"Converged",FALSE,-0.745448654566757,-1.25568557605473,-0.0117748456958577,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.944806963425313,-0.580349943642894,-0.0121077688690969,"Converged",FALSE,0.95,0.05,"optMLE"
17,-2.18272277839305,1.05317032740925,0.0016505518717966,"Converged",FALSE,-2.31010129981524,1.42553976654749,0.002125373965622,"Converged",FALSE,-2.26848786752573,1.31410872482984,0.00172298465491952,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.22534678988522,1.1178541173416,0.00170735631357278,"Converged",FALSE,0.95,0.05,"optMLE"
18,-1.89658994834036,3.50053590846027,-0.0208336314776947,"Converged",FALSE,-0.715945580380612,-0.299521627017109,-0.0209423117890324,"Converged",FALSE,-1.42199653949958,1.9781886216933,-0.0207851995029383,"Converged",FALSE,-1.70910764175838,2.56200532365779,-0.020368629615428,"Converged",FALSE,-1.32273092696635,1.65374689556163,-0.0206235015617214,"Converged",FALSE,0.95,0.05,"optMLE"
19,-0.875732738019968,0.645881529081013,-0.0218816785586242,"Converged",FALSE,-1.15812482144826,1.5598917915039,-0.0215750613835844,"Converged",FALSE,-1.16596343612653,1.54987384877797,-0.0215430589328554,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.16469935122174,1.46450934793569,-0.0219646811507608,"Converged",FALSE,0.95,0.05,"optMLE"
