"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,-1.65040705805831,1.59886942230051,0.0835407064612256,"Converged",FALSE,43,5,44,8,"MLE",0.95,0.05
1,0.25,-1.59389273274814,1.42118995922518,0.082815012642397,"Converged",FALSE,24,20,19,37,"MLE",0.95,0.05
1,0.5,-1.60295547950346,1.41812265650123,0.083036747810088,"Converged",FALSE,39,12,18,31,"MLE",0.95,0.05
1,0.75,-1.71047433420569,1.72776859032648,0.0828100861756667,"Converged",FALSE,52,23,6,19,"CC",0.95,0.05
1,0.9,-1.38407338212669,0.739902946437065,0.0821822773936835,"Converged",FALSE,35,21,22,22,"MLE",0.95,0.05
2,0.1,-1.48368431592904,1.44108052763915,0.0703165054586579,"Converged",FALSE,22,29,20,29,"MLE",0.95,0.05
2,0.25,-1.4957570644457,1.50094350032795,0.0691840223492187,"Converged",FALSE,18,28,19,35,"MLE",0.95,0.05
2,0.5,-1.68196041821383,1.93555674401044,0.0715522354678734,"Converged",FALSE,42,12,15,31,"MLE",0.95,0.05
2,0.75,-1.54307482797728,1.58714456436329,0.0707674148789203,"Converged",FALSE,36,24,10,30,"MLE",0.95,0.05
2,0.9,NA,NA,NA,"Singular information",FALSE,NA,NA,NA,NA,NA,0.95,0.05
3,0.1,-2.12818752124858,2.41636454278627,0.109628073867848,"Converged",FALSE,36,12,22,30,"MLE",0.95,0.05
3,0.25,-1.97981929543995,1.81518492285737,0.108941627574706,"Converged",FALSE,18,28,18,36,"MLE",0.95,0.05
3,0.5,-2.19806752306544,2.58497233010808,0.108418242381614,"Converged",FALSE,42,12,13,33,"MLE",0.95,0.05
3,0.75,-2.46544402279066,3.46134706273312,0.111312780469455,"Converged",FALSE,3,44,2,51,"MLE",0.95,0.05
3,0.9,-2.07202572481619,2.15751132549039,0.10818413431538,"Converged",FALSE,52,23,3,22,"CC",0.95,0.05
4,0.1,-2.49356381151881,3.11215621296571,0.109379332590977,"Converged",FALSE,27,19,23,31,"MLE",0.95,0.05
4,0.25,-2.70179287106871,4.16722233477359,0.10491526941094,"Converged",FALSE,30,13,22,35,"MLE",0.95,0.05
4,0.5,-2.60372752267978,3.42269230932143,0.10601341826052,"Converged",FALSE,46,12,25,17,"MLE",0.95,0.05
4,0.75,-2.23081966826791,2.56603017756837,0.0991433203040991,"Converged",FALSE,37,23,19,21,"MLE",0.95,0.05
4,0.9,-2.48526663152589,3.05471905882083,0.104198284819019,"Converged",FALSE,24,24,28,24,"CC",0.95,0.05
5,0.1,-1.85945274349094,1.5410768724558,0.094826896690817,"Converged",FALSE,23,35,21,21,"MLE",0.95,0.05
5,0.25,-1.99592454694225,2.09017770398028,0.0967733681360499,"Converged",FALSE,20,28,16,36,"MLE",0.95,0.05
5,0.5,-2.08657131345254,2.23850047347696,0.0947537207160146,"Converged",FALSE,44,12,14,30,"MLE",0.95,0.05
5,0.75,-2.29195118371935,2.60234689023496,0.0977323525089343,"Converged",FALSE,42,18,18,22,"MLE",0.95,0.05
5,0.9,-1.98833643358707,1.88134481215462,0.0969824834107244,"Converged",FALSE,36,23,18,23,"MLE",0.95,0.05
6,0.1,-1.92710370309159,2.24851891666329,0.0886732660622133,"Converged",FALSE,45,5,38,12,"MLE",0.95,0.05
6,0.25,-1.95126965947251,2.1104499077654,0.0895525468597404,"Converged",FALSE,44,8,20,28,"MLE",0.95,0.05
6,0.5,-1.73700074172127,1.4872609995878,0.0898150321429884,"Converged",FALSE,40,12,14,34,"MLE",0.95,0.05
