"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-2.46096532803031,2.57381784949024,0.132458872838215,"Converged",FALSE,4,75,1,20,0.99,0.01
1,0.9,"CC",-2.56141783421168,3.01131898952876,0.130891812051941,"Converged",FALSE,4,46,8,42,0.99,0.01
1,0.9,"BCC",-2.81425153069461,3.49777305660114,0.134542815271976,"Converged",FALSE,25,25,25,25,0.99,0.01
1,0.9,"RESID",-2.50084004754153,2.51042352453839,0.131129313241157,"Converged",FALSE,21,29,0,50,0.99,0.01
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,21,29,29,21,0.99,0.01
2,0.9,"SRS",-1.72624941649136,1.74995029007289,0.0760069465451578,"Converged",FALSE,7,63,4,26,0.99,0.01
2,0.9,"CC",-1.77208771521309,1.87358413887533,0.0764217679133763,"Converged",FALSE,4,46,3,47,0.99,0.01
2,0.9,"BCC",-1.49414488308409,0.914229091634148,0.0752076329355166,"Converged",FALSE,25,25,25,25,0.99,0.01
2,0.9,"RESID",-1.69906614252017,1.52741401447866,0.0769648261151179,"Converged",FALSE,16,34,0,50,0.99,0.01
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,36,14,30,20,0.99,0.01
3,0.9,"SRS",-2.37119028136935,3.20825475583609,0.108999475553241,"Converged",FALSE,5,67,2,26,0.99,0.01
3,0.9,"CC",-2.332550359786,3.11908337313278,0.10860731196183,"Converged",FALSE,4,46,3,47,0.99,0.01
3,0.9,"BCC",-2.04761295008085,2.31299415507407,0.107627946150857,"Converged",FALSE,26,26,23,25,0.99,0.01
3,0.9,"RESID",-2.38589247149013,3.06889033980951,0.106313349481385,"Converged",FALSE,21,29,0,50,0.99,0.01
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,29,21,22,28,0.99,0.01
4,0.9,"SRS",-1.68918989848907,1.65431768553039,0.0750243927426048,"Converged",FALSE,3,72,2,23,0.99,0.01
4,0.9,"CC",-1.67402106894244,1.60729150577425,0.07621195061858,"Converged",FALSE,1,49,5,45,0.99,0.01
4,0.9,"BCC",-1.76948099225981,1.98015230366703,0.0742575975641667,"Converged",FALSE,25,25,25,25,0.99,0.01
4,0.9,"RESID",-1.71468172183086,1.66316351535738,0.0753641178093259,"Converged",FALSE,22,28,0,50,0.99,0.01
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,38,12,34,16,0.99,0.01
5,0.9,"SRS",-2.59272261192219,3.90056179706363,0.126178719067703,"Converged",FALSE,1,73,1,25,0.99,0.01
5,0.9,"CC",-2.45593612140669,3.43235669933878,0.124003621077678,"Converged",FALSE,6,44,6,44,0.99,0.01
5,0.9,"BCC",-2.41897092247256,3.20534691037845,0.124568518498889,"Converged",FALSE,25,25,25,25,0.99,0.01
5,0.9,"RESID",-2.44232144141609,3.17192177959754,0.126477605172751,"Converged",FALSE,24,26,0,50,0.99,0.01
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,29,21,25,25,0.99,0.01
6,0.9,"SRS",-2.39245801307008,2.70370066693312,0.127035235815599,"Converged",FALSE,3,69,0,28,0.99,0.01
6,0.9,"CC",-2.08443443985799,1.90242895233118,0.125201745197059,"Converged",FALSE,3,47,5,45,0.99,0.01
6,0.9,"BCC",-2.20914510057598,2.14142067039493,0.124955915894245,"Converged",FALSE,25,25,25,25,0.99,0.01
