"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
1,-1.06114320541338,0.343613268589563,-0.0146125473352405,"Converged",FALSE,-1.07463439293079,0.338310579816435,-0.0144433571534516,"Converged",FALSE,NA,NA,NA,"MAX_ITER reached",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.99,0.01
2,-2.16617061886498,0.398819512432364,0.00801962261896721,"Converged",FALSE,-2.41282397934398,1.22598874333701,0.00760957847775219,"Converged",FALSE,-2.11994760764014,0.262461514434217,0.00797122829213509,"Converged",FALSE,-2.16823279637829,0.433779825356651,0.0078834855935612,"Converged",FALSE,-2.25570891732006,0.644287848986878,0.00806231219175209,"Converged",FALSE,0.99,0.01
3,-2.07269452423272,1.28317917709206,-0.00194095713737625,"Converged",FALSE,-2.13977494827692,1.45576463974185,-0.00186671530409007,"Converged",FALSE,-1.9221289804064,0.707054700983711,-0.00139400910329523,"Converged",FALSE,-1.97962306935418,0.95687742341452,-0.00201997956136112,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
4,-1.47280205572461,1.38411792122162,-0.0183317028424927,"Converged",FALSE,-1.52190156251584,1.45797543266743,-0.0183595911395312,"Converged",FALSE,-1.5172837956965,1.48548303090173,-0.0185770927289857,"Converged",FALSE,-1.19886468729138,0.430551226885925,-0.0180204058521339,"Converged",FALSE,-1.74137037767999,2.22279444760363,-0.019094199077658,"Converged",FALSE,0.99,0.01
5,-2.713939004078,1.9298854934007,0.00689387267827739,"Converged",FALSE,-2.78493109141582,2.149974578315,0.00703531082893061,"Converged",FALSE,-2.64830641074056,1.76469771225923,0.00682628492934712,"Converged",FALSE,-2.6573348809913,1.74774003498861,0.00664073194476243,"Converged",FALSE,-2.50775071750328,1.35195658346752,0.00728036585566008,"Converged",FALSE,0.99,0.01
6,-1.1153404131985,1.60859166783938,-0.0237141579632016,"Converged",FALSE,-1.247579414417,2.02385437236333,-0.0236087611162824,"Converged",FALSE,-1.27421596582274,1.98041070226651,-0.0230843856318285,"Converged",FALSE,-1.14913246019759,1.5467952663511,-0.0235064751499534,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.99,0.01
7,-2.30892563779182,3.06794776435105,-0.0126595254913989,"Converged",FALSE,-2.55254241813849,3.85209528486504,-0.0121084139622754,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.0542502647406,2.32905465710094,-0.0125723620542423,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
8,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,-2.58978953002546,1.55987239501507,0.00976754788421945,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.28431986051195,0.47134976109954,0.0102444110885595,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.99,0.01
9,-0.901282458558353,1.62031162641361,-0.0308722501678176,"Converged",FALSE,-0.440496273245873,0.318592836128216,-0.032137573017753,"Converged",FALSE,-1.06675545113371,2.10497906750748,-0.030545222615251,"Converged",FALSE,-0.878080923643544,1.52671063547051,-0.0312932642904504,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.99,0.01
10,-2.89571267345559,0.664384026572206,0.0207510894808378,"Converged",FALSE,-3.09526904750021,1.42945007566181,0.0205724283266837,"Converged",FALSE,-3.01166763340514,1.01657706149977,0.0206826091448766,"Converged",FALSE,-3.13664674415807,1.44013396705911,0.0204848651432986,"Converged",FALSE,-3.11354596246625,1.42124296035172,0.0200490910845438,"Converged",FALSE,0.99,0.01
