"sim","srs_beta0","srs_beta1","srs_beta2","srs_conv_msg","srs_resampled_V","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","cc_resampled_V","bcc_beta0","bcc_beta1","bcc_beta2","bcc_conv_msg","bcc_resampled_V","resid_beta0","resid_beta1","resid_beta2","resid_conv_msg","resid_resampled_V","sfs_beta0","sfs_beta1","sfs_beta2","sfs_conv_msg","tpr","fpr"
1,-0.327462859679995,0.503933493653371,-0.0340776134650741,"Converged",FALSE,-0.511029069521932,1.0962529660421,-0.0338274984689265,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.388446664919547,0.68869331110348,-0.0340197667232208,"Converged",FALSE,-0.496884880423444,0.970657856997262,-0.0337519236625116,"Converged",0.99,0.01
2,-1.21764568678022,1.68032405697993,-0.0236676970374496,"Converged",FALSE,-1.12985832106457,1.3860580245282,-0.0233465011156874,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.90403363757399,0.656253440187674,-0.0230988049125571,"Converged",FALSE,-0.897039597937856,0.63547428970619,-0.0233567919862895,"Converged",0.99,0.01
3,-1.75336629810699,2.19561185422315,-0.0145508467163878,"Converged",FALSE,-1.66891290037268,2.05491267375271,-0.0146296137500448,"Converged",FALSE,-1.42862666567588,1.29842787039063,-0.0143121269313493,"Converged",FALSE,-1.77151234577545,2.36526650631295,-0.0149220774173688,"Converged",FALSE,-1.63400976808895,2.0132662774243,-0.0143519455011996,"Converged",0.99,0.01
4,-2.59182962275356,1.90869399594639,0.00507669555242994,"Converged",FALSE,-2.38830096660541,1.26162768896702,0.00520866968134986,"Converged",FALSE,-2.5954328668485,1.89636396283762,0.00563708930459694,"Converged",FALSE,-2.39424850276854,1.22756173445835,0.00519523813267968,"Converged",FALSE,-2.21133076695536,0.644068484060881,0.00537322509395016,"Converged",0.99,0.01
5,-0.949899164860239,1.61224478750124,-0.0297903946554431,"Converged",FALSE,-0.79297398381854,1.09626646655974,-0.0296034453263361,"Converged",FALSE,-0.769500261947166,1.12755037178287,-0.0296435494114165,"Converged",FALSE,-0.60089187959946,0.492510912723125,-0.0290417889264758,"Converged",FALSE,-0.856654955971588,1.36680974726055,-0.029460938094161,"Converged",0.99,0.01
6,-1.78993176697633,0.676898096038803,-0.00282817189516662,"Converged",FALSE,-1.66982569777383,0.279563329841474,-0.00299249089392006,"Converged",FALSE,-2.01083544775338,1.44158689656965,-0.00274111497874733,"Converged",FALSE,-2.07811123884839,1.44971818737224,-0.00223087258696153,"Converged",FALSE,-1.79001666278234,0.677564961270887,-0.00293601082839431,"Converged",0.99,0.01
7,-2.03371764723875,1.64928573320351,-0.0061773519452852,"Converged",FALSE,-1.99718311412234,1.54019207479156,-0.00617554977557216,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.99975425041652,1.54709491890493,-0.00607910910670194,"Converged",FALSE,-1.84814265397312,1.1301986866315,-0.00647360172796105,"Converged",0.99,0.01
8,-1.78957287232466,2.42600448404992,-0.0131540862182558,"Converged",FALSE,-1.73210821797463,2.35393393400625,-0.0135259713176927,"Converged",FALSE,-1.72592010388521,2.22637440436485,-0.0130242861869669,"Converged",FALSE,-1.64610831063467,2.01068276824295,-0.0135378542222412,"Converged",FALSE,-1.63732776596635,2.03059596533381,-0.0136966515736377,"Converged",0.99,0.01
9,-2.1615683900517,1.46300774415683,0.00165946389830811,"Converged",FALSE,-2.25863771724879,1.87228053431472,0.00121569736939399,"Converged",FALSE,-1.99494533807125,1.05554903375325,0.00101844364273297,"Converged",FALSE,-2.19002105123274,1.60847844173467,0.00134635740192391,"Converged",FALSE,-2.16110086097752,1.49534959215378,0.00145843221722208,"Converged",0.99,0.01
10,-1.9977791341313,1.44787784113012,-0.000853184631994465,"Converged",FALSE,-1.98668871250052,1.41446057826933,-0.000498875480859566,"Converged",FALSE,-1.89428290438794,1.09055328722144,-0.000658576605004493,"Converged",FALSE,-2.06200966043166,1.70869066532965,-0.00124985714932316,"Converged",FALSE,-1.98633086882013,1.46987484998758,-0.00115991235190137,"Converged",0.99,0.01
11,-0.357081074802411,0.993795730777827,-0.0393533921531247,"Converged",FALSE,-0.308080239839588,0.778551942714233,-0.039228076729331,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.128343760652448,0.218230449318361,-0.0393070187121852,"Converged",FALSE,-0.175851577608501,0.402987310027682,-0.0393650157101473,"Converged",0.99,0.01
12,-0.568039474073949,-0.549014102416806,-0.0201669710802006,"Converged",FALSE,-0.562455314000797,-0.596135958842861,-0.019879628895963,"Converged",FALSE,-0.571908184116086,-0.549139427837229,-0.020046819375412,"Converged",FALSE,-0.420243128171051,-1.06524527740612,-0.0198164581829748,"Converged",FALSE,-0.662852250182767,-0.250743716227488,-0.0201212973493113,"Converged",0.99,0.01
13,-0.731793057112661,0.327636377102447,-0.0254079908891905,"Converged",FALSE,-0.631157923205227,-0.0116654701191306,-0.0254505392496204,"Converged",FALSE,-0.531672250059594,-0.320711697669842,-0.025484929152961,"Converged",FALSE,-0.812010812840966,0.555567272381825,-0.0252198747328216,"Converged",FALSE,-0.642687367831527,0.0233771519909334,-0.0254379340591704,"Converged",0.99,0.01
14,-2.53871175701187,1.34150741469691,0.00627144380936736,"Converged",FALSE,-2.62248534653425,1.73013468581803,0.00620027227945884,"Converged",FALSE,-2.61902086651309,1.62782248101129,0.00647437172278019,"Converged",FALSE,-2.83206989542347,2.4122498265294,0.00593935318986411,"Converged",FALSE,-2.62154695824648,1.62554192904701,0.00652245177182011,"Converged",0.99,0.01
15,-2.53309252948497,3.57693590157078,-0.00581297658450328,"Converged",FALSE,-1.97876015009615,1.85589707147748,-0.00467094296846255,"Converged",FALSE,-2.25808424800178,2.75181198906117,-0.00527015460133711,"Converged",FALSE,-2.07043086756107,2.11377978331186,-0.00479053432395715,"Converged",FALSE,-1.79726825293471,1.20403800048018,-0.0046759946160945,"Converged",0.99,0.01
