"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr"
1,-0.250805119816717,-3.45747044047418,-0.00491922836298668,"Converged",FALSE,-2.35377095404347,3.00691312808065,-0.00577328950830705,"Converged",FALSE,-2.55032562421192,3.83768553112895,-0.0052731162315381,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
2,-1.53370938952428,0.992467782390253,-0.0101869078500832,"Converged",FALSE,-1.7891552697667,1.79342597964643,-0.00988581704640824,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.42995243987177,0.686301995236394,-0.0102230111206315,"Converged",FALSE,-1.34853509394762,0.425763145472648,-0.0101666819986061,"Converged",FALSE,0.5,0.5
3,-1.5080066521641,-2.56545754197283,0.0143531467842355,"Converged",FALSE,-3.17126704673807,2.50362830605036,0.0152768243091895,"Converged",FALSE,-2.16447014290263,-0.52795021248654,0.0146677232060523,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-3.15964185195027,2.55975230410838,0.0151390957450852,"Converged",FALSE,0.5,0.5
4,-0.539977737631287,0.869786825545893,-0.0309625574554769,"Converged",FALSE,-0.761857122274679,1.59455639100465,-0.0315524079624837,"Converged",FALSE,-1.75191276087268,4.78364772182006,-0.0311717672935261,"Converged",FALSE,-1.92499021245915,5.9576499578786,-0.03400016904946,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
5,-1.56416781918616,0.959898928224819,-0.00908411435904619,"Converged",FALSE,-0.555587514155558,-2.19538342952272,-0.00930728912687438,"Converged",FALSE,-0.940228604902348,-1.17586246131973,-0.00870179776231241,"Converged",FALSE,-1.48556998267861,0.710875394012439,-0.0092308599836133,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
6,-1.43613191223193,1.5783144328476,-0.0154153060025701,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.546388882304672,-1.27125842033375,-0.015212806204855,"Converged",FALSE,-2.27918657657818,4.01533123468275,-0.0146110326217225,"Converged",FALSE,-1.64355860705749,2.29020416638697,-0.0152537417944471,"Converged",FALSE,0.5,0.5
7,-2.37432231392083,2.50195322895888,-0.00550698467371136,"Converged",FALSE,-2.0220661973569,1.38995495655983,-0.00554948042235886,"Converged",FALSE,-0.556103449542381,-3.91871882942393,-0.00264124176065151,"Converged",FALSE,-1.49955865886496,-0.300527552466689,-0.00516731721449039,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
8,-1.48660879580928,-0.164930151468738,-0.00334309471743222,"Converged",FALSE,-1.90714567434402,1.09541398982998,-0.00338885899171373,"Converged",FALSE,-1.00195269951127,-1.61285182751613,-0.00308702945173423,"Converged",FALSE,-1.93750045907043,1.31338980130062,-0.00276638462405219,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
9,-0.142126958318054,-3.24833663525906,-0.0116119144101179,"Converged",FALSE,-0.994895431117746,-0.777953539779846,-0.00972135557910528,"Converged",FALSE,-1.97357743302691,2.18199818117643,-0.00854607966870155,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
10,-3.12335562044294,2.24052475485937,0.0175255587734071,"Converged",FALSE,-3.18315041097142,2.14169392681448,0.0180762653442479,"Converged",FALSE,-2.11211037943205,-1.09050193635052,0.0174958093331887,"Converged",FALSE,-1.88950568362381,-1.80075804474529,0.0171085323255255,"Converged",FALSE,NA,NA,NA,"MLEs in Wave 1 Didn't Converge",FALSE,0.5,0.5
