"sim","strat10_beta0","strat10_beta1","strat10_beta2","strat10_conv_msg","strat10_resampled_V","strat25_beta0","strat25_beta1","strat25_beta2","strat25_conv_msg","strat25_resampled_V","strat50_beta0","strat50_beta1","strat50_beta2","strat50_conv_msg","strat50_resampled_V","strat75_beta0","strat75_beta1","strat75_beta2","strat75_conv_msg","strat75_resampled_V","strat90_beta0","strat90_beta1","strat90_beta2","strat90_conv_msg","strat90_resampled_V","tpr","fpr","design"
1,-1.30071429200724,0.687969408582118,-0.0157161140260564,"Converged",FALSE,-1.15025096435735,0.248188022617171,-0.0158912376289968,"Converged",FALSE,-1.47526566812323,1.37202580041012,-0.0156123241727797,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,NA,NA,NA,"B-spline error",FALSE,0.8,0.2,"optMLE"
2,-2.41728461603805,0.934735357706401,0.00742452937182412,"Converged",FALSE,-2.65387355229031,1.92144381702871,0.00681084013479273,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.2094849672976,0.267545319988504,0.00729160214554416,"Converged",FALSE,-2.27544113120791,0.450491217114229,0.00748584154522883,"Converged",FALSE,0.8,0.2,"optMLE"
3,-1.52004162616495,3.11674509072568,-0.027484874881476,"Converged",FALSE,-1.33936778798894,2.4085232258627,-0.0272736386329751,"Converged",FALSE,-0.781770572038335,0.556014650776119,-0.0260589741039239,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-1.02172484766295,1.42840470761184,-0.0263868941555988,"Converged",FALSE,0.8,0.2,"optMLE"
4,-1.44876336079542,1.12383666301797,-0.0129318622122716,"Converged",FALSE,-0.690464912182074,-1.19288954654454,-0.0132673720978922,"Converged",FALSE,-0.803550301162985,-0.978583759432531,-0.0131056447281349,"Converged",FALSE,-2.52378676710491,4.08902474718902,-0.0128433181623392,"Converged",FALSE,-1.15874030407908,0.174938492931165,-0.0127345804732897,"Converged",FALSE,0.8,0.2,"optMLE"
5,-2.48457828935761,2.4547958228935,0.00135976525076624,"Converged",FALSE,-2.71044229491805,3.18044392237269,0.00204135490567528,"Converged",FALSE,-3.01508637028859,3.85217216764399,0.00190839664029605,"Converged",FALSE,-1.876661788768,0.646167479684464,0.00146996157142052,"Converged",FALSE,-2.6567534045103,2.92033747994258,0.00224098827821247,"Converged",FALSE,0.8,0.2,"optMLE"
6,-1.78004904617456,2.05102132059737,-0.0103192023402867,"Converged",FALSE,-1.88250690420039,2.23699561158674,-0.0102023684249111,"Converged",FALSE,-1.90322423414366,2.1067254303222,-0.00779924945382688,"Converged",FALSE,-2.29121526760514,3.41627449973786,-0.00839284877670711,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,0.8,0.2,"optMLE"
7,-1.45870828365691,1.34227438992508,-0.0119053512467065,"Converged",FALSE,-2.11630173754482,3.38315186438119,-0.0113374316713625,"Converged",FALSE,-2.01615286237757,3.20691382382294,-0.011905674190626,"Converged",FALSE,-1.96403327674742,3.04567416380749,-0.0125382005910186,"Converged",FALSE,-2.22833760532247,4.11210198507941,-0.0128115887994697,"Converged",FALSE,0.8,0.2,"optMLE"
8,-0.441215536530108,-1.16621359705621,-0.0197897093342782,"Converged",FALSE,-0.815728938522158,0.176959024604973,-0.0205644093063443,"Converged",FALSE,-0.415520096719451,-1.22940783167926,-0.0200673121406043,"Converged",FALSE,-0.705740884893988,-0.168511791974843,-0.0204675962495426,"Converged",FALSE,0.162827700046852,-2.94725486270895,-0.0199485364095549,"Converged",FALSE,0.8,0.2,"optMLE"
9,-0.937915329212399,-0.342711586584767,-0.0140492970854546,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.38611219768667,-1.8787246948526,-0.0146507216443938,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-0.616483819476357,-1.38363799352121,-0.0147142285949357,"Converged",FALSE,0.8,0.2,"optMLE"
10,-1.61405406477034,-0.75223805429363,0.00156777674872196,"Converged",FALSE,-1.85153199001773,0.0169808468038105,0.00157019151392193,"Converged",FALSE,-2.86528354033464,3.08661758952274,0.00188729907155746,"Converged",FALSE,NA,NA,NA,"B-spline error",FALSE,-2.31687670891039,1.42695826584139,0.00150463508150177,"Converged",FALSE,0.8,0.2,"optMLE"
