"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,-1.60345061498014,-0.0985513039574214,0.135701337501121,"Converged",FALSE,20,34,23,23,"MLE",0.8,0.2
1,0.25,-1.52991159791295,-0.328333814662985,0.135446656549702,"Converged",FALSE,15,33,19,33,"MLE",0.8,0.2
1,0.5,-1.69252459769028,0.179108164681517,0.136070358554921,"Converged",FALSE,22,24,16,38,"MLE",0.8,0.2
1,0.75,-3.04932644169886,4.26512606612912,0.151385641675339,"Converged",FALSE,14,33,13,40,"MLE",0.8,0.2
1,0.9,-2.84489580195579,3.71162244136969,0.144314637050291,"Converged",FALSE,7,45,11,37,"MLE",0.8,0.2
2,0.1,-2.66440268479774,3.43453618725782,0.153591717780663,"Converged",FALSE,35,10,20,35,"MLE",0.8,0.2
2,0.25,-2.51983008218018,2.83838837667186,0.152061743221054,"Converged",FALSE,34,11,19,36,"MLE",0.8,0.2
2,0.5,-2.18678552716239,1.71181622889973,0.150036053045128,"Converged",FALSE,15,31,14,40,"MLE",0.8,0.2
2,0.75,-2.7787804784723,3.53889567161467,0.152317803148392,"Converged",FALSE,43,12,22,23,"MLE",0.8,0.2
2,0.9,-2.55562930984163,2.95079000646167,0.150952483598299,"Converged",FALSE,12,38,6,44,"MLE",0.8,0.2
3,0.1,-2.28322161292338,3.95496816581757,0.0991694931116956,"Converged",FALSE,37,6,56,1,"MLE",0.8,0.2
3,0.25,-1.39933702964121,1.05846559945413,0.0920269011159171,"Converged",FALSE,20,28,17,35,"MLE",0.8,0.2
3,0.5,-0.896953081267563,-0.578747761984458,0.0923828745377363,"Converged",FALSE,14,39,17,30,"MLE",0.8,0.2
3,0.75,-1.11420646943098,0.145664168047622,0.0923147447732533,"Converged",FALSE,40,12,36,12,"MLE",0.8,0.2
3,0.9,-0.968005888181332,-0.341383084880423,0.0924954709152137,"Converged",FALSE,27,21,32,20,"MLE",0.8,0.2
4,0.1,-1.52491705551148,0.232642626546711,0.114566587440708,"Converged",FALSE,37,8,52,3,"MLE",0.8,0.2
4,0.25,-1.79554801775729,1.12211186456722,0.11555694515293,"Converged",FALSE,16,35,18,31,"MLE",0.8,0.2
4,0.5,-1.80564529298919,1.11940290222871,0.115178774781096,"Converged",FALSE,39,11,37,13,"MLE",0.8,0.2
4,0.75,-2.09115190995068,1.98703553145104,0.115119168251244,"Converged",FALSE,43,13,18,26,"MLE",0.8,0.2
4,0.9,-1.54947451052938,0.275774496142862,0.115059845315062,"Converged",FALSE,11,39,10,40,"MLE",0.8,0.2
5,0.1,-1.48146542207079,1.73113063374431,0.0683231206653803,"Converged",FALSE,22,26,21,31,"MLE",0.8,0.2
5,0.25,-1.18368550611056,0.723202510943295,0.0687934173405376,"Converged",FALSE,20,38,20,22,"MLE",0.8,0.2
5,0.5,-1.21428117868174,0.812250040738897,0.0692084839430694,"Converged",FALSE,17,24,17,42,"MLE",0.8,0.2
5,0.75,-1.95053428230049,3.06295144982571,0.0702271818177709,"Converged",FALSE,41,12,35,12,"MLE",0.8,0.2
5,0.9,-0.981427312130572,0.0847739413815119,0.0696493551711284,"Converged",FALSE,37,15,25,23,"MLE",0.8,0.2
6,0.1,-1.69087980888458,2.38559674735843,0.0760646730586948,"Converged",FALSE,22,16,22,40,"MLE",0.8,0.2
6,0.25,-1.83932142995061,2.59887685794548,0.0779783455222249,"Converged",FALSE,41,9,41,9,"MLE",0.8,0.2
6,0.5,-0.756580291178531,-0.71536641469904,0.0758121701904812,"Converged",FALSE,17,26,13,44,"MLE",0.8,0.2
6,0.75,-1.60810834313169,2.12870194493819,0.0789783811313303,"Converged",FALSE,53,12,23,12,"MLE",0.8,0.2
6,0.9,-1.54080571689815,1.76392444479546,0.0772470346715923,"Converged",FALSE,29,20,35,16,"MLE",0.8,0.2
7,0.1,-2.61764344608867,5.35611361444718,0.080456501568091,"Converged",FALSE,18,35,19,28,"MLE",0.8,0.2
