"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,-1.0878138942726,-0.255407231647169,0.0854024734682414,"Converged",FALSE,24,33,21,22,"MLE",0.8,0.2
1,0.25,NA,NA,NA,"B-spline error",FALSE,38,7,46,9,"MLE",0.8,0.2
1,0.5,-1.88298578667579,0.00418256490787236,0.0818982143982285,"Converged",FALSE,13,46,13,28,"MLE",0.8,0.2
1,0.75,-1.80959745471333,-0.0187144109333741,0.081669204824986,"Converged",FALSE,29,17,36,18,"MLE",0.8,0.2
1,0.9,-1.45765624180363,-0.143263886164581,0.0838494660824719,"Converged",FALSE,45,23,9,23,"MLE",0.8,0.2
2,0.1,-2.25255919496881,0.0348575972503459,0.125771958777333,"Converged",FALSE,26,22,28,24,"MLE",0.8,0.2
2,0.25,-1.72254335823889,-0.141675942858461,0.126085452943184,"Converged",FALSE,20,30,19,31,"MLE",0.8,0.2
2,0.5,NA,NA,NA,"B-spline error",FALSE,32,12,44,12,"MLE",0.8,0.2
2,0.75,-2.36041522118711,0.0687854171016171,0.125557837810482,"Converged",FALSE,7,18,5,70,"MLE",0.8,0.2
2,0.9,-3.00434430132927,0.290858139246517,0.126654970946015,"Converged",FALSE,47,23,0,30,"CC",0.8,0.2
3,0.1,-2.18298304954257,0.0624539268043547,0.128837791515496,"Converged",FALSE,23,29,22,26,"MLE",0.8,0.2
3,0.25,-1.84919268385252,-0.0444859925164936,0.129004778922143,"Converged",FALSE,18,34,18,30,"MLE",0.8,0.2
3,0.5,-1.88106775774586,-0.0354791216395995,0.128923270801697,"Converged",FALSE,36,12,40,12,"MLE",0.8,0.2
3,0.75,-1.76799987052412,-0.0675833525913357,0.129333720008665,"Converged",FALSE,27,20,35,18,"MLE",0.8,0.2
3,0.9,-1.90563721413391,-0.0228928559945111,0.128787909628779,"Converged",FALSE,3,22,11,64,"CC",0.8,0.2
4,0.1,-1.93937430795292,0.0911120255551523,0.0662190434408748,"Converged",FALSE,21,28,23,28,"MLE",0.8,0.2
4,0.25,-2.15658684319231,0.174738009096554,0.0669005464838194,"Converged",FALSE,42,7,45,6,"MLE",0.8,0.2
4,0.5,-2.25776337135897,0.18649496196533,0.0658584033199947,"Converged",FALSE,39,12,29,20,"MLE",0.8,0.2
4,0.75,-2.03721768140123,0.122374061380508,0.0663470772973285,"Converged",FALSE,33,20,29,18,"MLE",0.8,0.2
4,0.9,-1.7281067384311,0.0273629453092258,0.0658719526320443,"Converged",FALSE,31,26,15,28,"MLE",0.8,0.2
5,0.1,-1.75585521551083,-0.115310036976279,0.121295178858258,"Converged",FALSE,45,5,49,1,"MLE",0.8,0.2
5,0.25,-1.74975068006168,-0.118910826734033,0.120474499632784,"Converged",FALSE,18,32,18,32,"MLE",0.8,0.2
5,0.5,-2.10327485802687,0.000768406304094442,0.120265550737256,"Converged",FALSE,40,12,33,15,"MLE",0.8,0.2
5,0.75,-1.38613869146142,-0.24386750638684,0.12202987244352,"Converged",FALSE,28,18,33,21,"MLE",0.8,0.2
5,0.9,-1.58175271878921,-0.16745101880972,0.12213147867466,"Converged",FALSE,47,22,6,25,"MLE",0.8,0.2
6,0.1,-2.1429558414064,0.172451364515008,0.0598213976836997,"Converged",FALSE,32,5,62,1,"MLE",0.8,0.2
6,0.25,-1.77252119336846,0.0504950783036459,0.0607614763483208,"Converged",FALSE,22,29,18,31,"MLE",0.8,0.2
6,0.5,-1.77828426114118,0.0520625201816101,0.0605613762654626,"Converged",FALSE,40,12,31,17,"MLE",0.8,0.2
6,0.75,-2.48744561388743,0.283473356915765,0.06089618673492,"Converged",FALSE,27,21,31,21,"MLE",0.8,0.2
6,0.9,NA,NA,NA,"B-spline error",FALSE,44,23,9,24,"CC",0.8,0.2
7,0.1,-1.96053353376765,-0.031760405508518,0.134434494632992,"Converged",FALSE,45,3,50,2,"MLE",0.8,0.2
7,0.25,-1.94041103697464,-0.0406934456634777,0.134216090560809,"Converged",FALSE,19,33,18,30,"MLE",0.8,0.2
7,0.5,NA,NA,NA,"MAX_ITER reached",FALSE,14,33,13,40,"MLE",0.8,0.2
7,0.75,-1.91643584191074,-0.045302097462851,0.134757169121305,"Converged",FALSE,31,18,34,17,"MLE",0.8,0.2
7,0.9,-2.03273869068132,-0.00786979352678655,0.134745367799595,"Converged",FALSE,42,25,12,21,"MLE",0.8,0.2
8,0.1,-2.15495376756642,0.0646345627178266,0.10213398093273,"Converged",FALSE,31,21,30,18,"MLE",0.8,0.2
8,0.25,-2.39031640656236,0.145418283316023,0.101173465369453,"Converged",FALSE,22,26,16,36,"MLE",0.8,0.2
8,0.5,-2.25185166254624,0.0967785595659533,0.100994674299948,"Converged",FALSE,13,31,13,43,"MLE",0.8,0.2
8,0.75,-1.74225082944195,-0.0695755804116408,0.102221593066375,"Converged",FALSE,31,18,32,19,"MLE",0.8,0.2
8,0.9,NA,NA,NA,"B-spline error",FALSE,42,22,15,21,"MLE",0.8,0.2
9,0.1,-2.06642293608947,0.151080441712802,0.0681505775738676,"Converged",FALSE,23,30,21,26,"MLE",0.8,0.2
9,0.25,-2.25661119492419,0.218226114237358,0.0686112444163628,"Converged",FALSE,20,26,18,36,"MLE",0.8,0.2
9,0.5,-1.32357141454363,-0.0760305406504069,0.0648569719135821,"Converged",FALSE,38,12,36,14,"MLE",0.8,0.2
9,0.75,-1.862578768386,0.0940529855482522,0.0664105824651802,"Converged",FALSE,34,17,33,16,"MLE",0.8,0.2
9,0.9,-2.27361271317112,0.225189854222028,0.0656083137787503,"Converged",FALSE,4,24,3,69,"CC",0.8,0.2
10,0.1,-1.71159273927222,-0.0414592224414671,0.0998106834121198,"Converged",FALSE,22,28,23,27,"MLE",0.8,0.2
10,0.25,-2.12686957096033,0.103792379247212,0.0992822680138583,"Converged",FALSE,19,35,20,26,"MLE",0.8,0.2
10,0.5,-1.25860823169044,-0.177969678932153,0.100409303404507,"Converged",FALSE,34,13,41,12,"MLE",0.8,0.2
10,0.75,-1.59339360449646,-0.0870220031504478,0.100436453745942,"Converged",FALSE,29,21,30,20,"MLE",0.8,0.2
10,0.9,-0.814929139105679,-0.334393586663074,0.101973609324326,"Converged",FALSE,42,24,11,23,"MLE",0.8,0.2
11,0.1,-1.60066939160395,0.00291748211322833,0.0413652891659503,"Converged",FALSE,44,3,50,3,"MLE",0.8,0.2
11,0.25,-1.29095224935076,-0.0892436344269371,0.0397081480266775,"Converged",FALSE,36,11,46,7,"MLE",0.8,0.2
11,0.5,-1.30379976181762,-0.0885287604458727,0.0390195250109247,"Converged",FALSE,36,12,40,12,"MLE",0.8,0.2
11,0.75,-1.9693807452896,0.11523264598625,0.0439360281446834,"Converged",FALSE,26,17,40,17,"MLE",0.8,0.2
11,0.9,-1.63525078693666,0.0129275331907714,0.0414842593848093,"Converged",FALSE,34,21,21,24,"MLE",0.8,0.2
12,0.1,-1.9489213141996,-0.00343221883142406,0.113149721858401,"Converged",FALSE,19,30,21,30,"MLE",0.8,0.2
12,0.25,-1.9336149522536,-0.0083545399197313,0.113090991812583,"Converged",FALSE,20,31,19,30,"MLE",0.8,0.2
12,0.5,NA,NA,NA,"MAX_ITER reached",FALSE,34,12,42,12,"MLE",0.8,0.2
12,0.75,-2.0242403387192,0.0218450107876503,0.113185219824742,"Converged",FALSE,28,19,33,20,"MLE",0.8,0.2
12,0.9,-1.77448215029118,-0.0618787740502052,0.113052259778106,"Converged",FALSE,1,57,2,40,"MLE",0.8,0.2
13,0.1,-1.86019416900428,-0.0617882556943489,0.130131945653841,"Converged",FALSE,40,9,48,3,"MLE",0.8,0.2
13,0.25,-2.30373807086811,0.0811488777507602,0.129836172527978,"Converged",FALSE,22,23,22,33,"MLE",0.8,0.2
13,0.5,-1.81669097460638,-0.0788682702518629,0.130585638702184,"Converged",FALSE,36,12,40,12,"MLE",0.8,0.2
13,0.75,-1.68686318777949,-0.120816940940835,0.131014098587743,"Converged",FALSE,3,61,4,32,"MLE",0.8,0.2
13,0.9,NA,NA,NA,"Tie for minimum",FALSE,NA,NA,NA,NA,NA,0.8,0.2
14,0.1,-2.79605207813642,0.310083732916392,0.122420616853475,"Converged",FALSE,24,26,21,29,"MLE",0.8,0.2
14,0.25,-1.99008870557595,0.0304028004300461,0.118195522866832,"Converged",FALSE,16,32,18,34,"MLE",0.8,0.2
14,0.5,-1.83826646518593,-0.018193283978583,0.117581547728638,"Converged",FALSE,41,12,35,12,"MLE",0.8,0.2
14,0.75,-2.18189509822724,0.0872640737975598,0.120074782541965,"Converged",FALSE,33,22,27,18,"MLE",0.8,0.2
14,0.9,-2.05419367553773,0.0484514587846288,0.118456872420581,"Converged",FALSE,2,58,0,40,"MLE",0.8,0.2
15,0.1,-1.78104471578642,-0.0775210725501448,0.115752639467324,"Converged",FALSE,47,1,51,1,"MLE",0.8,0.2
15,0.25,-2.06354143208841,0.0182240848975327,0.115019837073812,"Converged",FALSE,44,9,40,7,"MLE",0.8,0.2
