"sim","q","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","wave1est","tpr","fpr"
1,0.1,NA,NA,NA,"B-spline error",FALSE,22,26,25,27,"MLE",0.95,0.05
1,0.25,-1.82145991847776,-0.0877220183092206,0.156455653005278,"Converged",FALSE,20,29,19,32,"MLE",0.95,0.05
1,0.5,-1.76546480638114,-0.11343713938308,0.156819880554897,"Converged",FALSE,33,12,43,12,"MLE",0.95,0.05
1,0.75,-2.03064364301265,-0.0263636011586752,0.157740685340773,"Converged",FALSE,31,22,26,21,"MLE",0.95,0.05
1,0.9,-1.96772792896894,-0.0478371147832509,0.157354606835546,"Converged",FALSE,12,33,12,43,"CC",0.95,0.05
2,0.1,-2.11614799998954,-0.00181735451275482,0.163619060673356,"Converged",FALSE,44,3,48,5,"MLE",0.95,0.05
2,0.25,-2.28605119343259,0.0509585348755644,0.16329174582429,"Converged",FALSE,17,33,16,34,"MLE",0.95,0.05
2,0.5,-2.23888554098579,0.0371666912947814,0.163375246122856,"Converged",FALSE,35,12,41,12,"MLE",0.95,0.05
2,0.75,-2.3131668891638,0.0629932999698932,0.163461210117529,"Converged",FALSE,4,21,37,38,"CC",0.95,0.05
2,0.9,-2.41425757140144,0.0918866817760814,0.163707221502445,"Converged",FALSE,3,72,1,24,"CC",0.95,0.05
3,0.1,-2.03909619708351,0.0215257236089387,0.109407394758199,"Converged",FALSE,21,28,21,30,"MLE",0.95,0.05
3,0.25,-2.00257555452909,0.00912936726098787,0.10959017595666,"Converged",FALSE,20,29,18,33,"MLE",0.95,0.05
3,0.5,-1.55057667960199,-0.134336003987466,0.111160277431616,"Converged",FALSE,39,12,33,16,"MLE",0.95,0.05
3,0.75,-1.86300620386725,-0.0367550689138588,0.109906841632747,"Converged",FALSE,34,21,24,21,"MLE",0.95,0.05
3,0.9,-1.87628757676548,-0.0356715706147424,0.110363658203542,"Converged",FALSE,38,21,16,25,"MLE",0.95,0.05
4,0.1,-2.32797192028447,0.0226197100865663,0.134954409876062,"Converged",FALSE,24,31,20,25,"MLE",0.95,0.05
4,0.25,-2.2146096843375,-0.0110465799491774,0.133927451014898,"Converged",FALSE,20,29,18,33,"MLE",0.95,0.05
4,0.5,-2.30019727085237,0.0144130956289327,0.134444324671017,"Converged",FALSE,38,12,38,12,"MLE",0.95,0.05
4,0.75,-2.07312176250115,-0.0541473704183323,0.132971076193129,"Converged",FALSE,20,24,26,30,"MLE",0.95,0.05
4,0.9,-2.30716567942456,0.0166290176392009,0.134682260586537,"Converged",FALSE,41,26,9,24,"MLE",0.95,0.05
5,0.1,-1.86447009363318,0.0062699642225655,0.0891886740305834,"Converged",FALSE,20,30,21,29,"MLE",0.95,0.05
5,0.25,-1.50162250302789,-0.105511411598876,0.0891029637070115,"Converged",FALSE,21,37,17,25,"MLE",0.95,0.05
5,0.5,-1.89632194456785,0.0149861021516009,0.0893586636915571,"Converged",FALSE,39,12,37,12,"MLE",0.95,0.05
5,0.75,NA,NA,NA,"B-spline error",FALSE,28,24,28,20,"MLE",0.95,0.05
5,0.9,-1.81494218837593,-0.00951665655559435,0.0890868655437519,"Converged",FALSE,34,25,14,27,"MLE",0.95,0.05
6,0.1,-2.12349773782227,0.00996006742436715,0.127528000055327,"Converged",FALSE,43,6,44,7,"MLE",0.95,0.05
6,0.25,-2.14744761508199,0.0174764041308848,0.127328347492831,"Converged",FALSE,20,27,18,35,"MLE",0.95,0.05
6,0.5,-2.07707104277707,-0.00485295636875187,0.1276432495805,"Converged",FALSE,37,12,39,12,"MLE",0.95,0.05
6,0.75,-1.96753567631677,-0.0413938032899442,0.12799326857999,"Converged",FALSE,29,19,33,19,"MLE",0.95,0.05
6,0.9,-2.43627297698883,0.106853901895968,0.126072394234715,"Converged",FALSE,2,61,1,36,"CC",0.95,0.05
7,0.1,-1.75218569281048,0.0152843135437232,0.0255760261675142,"Converged",FALSE,21,32,21,26,"MLE",0.95,0.05
7,0.25,-1.73839154508288,0.0100326784299116,0.0256848708814032,"Converged",FALSE,25,20,20,35,"MLE",0.95,0.05
7,0.5,-1.69005659456748,-0.00605271979044481,0.0261334282496155,"Converged",FALSE,33,12,43,12,"MLE",0.95,0.05
7,0.75,-1.75612125067712,0.0163193253745941,0.0255746598157481,"Converged",FALSE,36,18,28,18,"MLE",0.95,0.05
7,0.9,-1.70011615200255,-0.00221041802939622,0.026006062013607,"Converged",FALSE,39,23,15,23,"MLE",0.95,0.05
8,0.1,-0.959295939992008,-0.229417527048919,0.0338687228919861,"Converged",FALSE,22,31,21,26,"MLE",0.95,0.05
8,0.25,-0.705924114898898,-0.31750216513517,0.0351599754785803,"Converged",FALSE,17,39,19,25,"MLE",0.95,0.05
8,0.5,-1.11501433048918,-0.177858676316339,0.034460047778709,"Converged",FALSE,23,23,42,12,"MLE",0.95,0.05
8,0.75,-0.920775232732566,-0.239872520973893,0.0356679983235839,"Converged",FALSE,8,40,17,35,"MLE",0.95,0.05
8,0.9,-1.16800451545513,-0.154324854259409,0.036421346392954,"Converged",FALSE,46,23,7,24,"MLE",0.95,0.05
9,0.1,-1.26331392912382,-0.0926431920508831,0.0511989945508351,"Converged",FALSE,44,6,45,5,"MLE",0.95,0.05
9,0.25,-1.02574993197552,-0.173420656109176,0.0514594360142853,"Converged",FALSE,17,31,25,27,"MLE",0.95,0.05
9,0.5,-1.24867659742697,-0.0998433815050787,0.0517869727167426,"Converged",FALSE,33,12,43,12,"MLE",0.95,0.05
9,0.75,-1.10420643679227,-0.13928888502871,0.0522814932217914,"Converged",FALSE,26,22,31,21,"CC",0.95,0.05
9,0.9,-1.07688467779902,-0.159258120411465,0.0538115553766841,"Converged",FALSE,43,20,14,23,"CC",0.95,0.05
10,0.1,-2.37397912741378,0.133774458057549,0.0814879098921149,"Converged",FALSE,44,6,41,9,"MLE",0.95,0.05
10,0.25,-2.41567826817105,0.158822137350786,0.0802216748335444,"Converged",FALSE,26,21,19,34,"MLE",0.95,0.05
10,0.5,-2.26365556850301,0.0937334685769767,0.0803865417277018,"Converged",FALSE,38,12,38,12,"MLE",0.95,0.05
10,0.75,-2.26723180310725,0.0967689423042838,0.0817528536858174,"Converged",FALSE,38,23,20,19,"MLE",0.95,0.05
10,0.9,-2.32001506248963,0.11244922653693,0.082201838424025,"Converged",FALSE,41,21,15,23,"CC",0.95,0.05
11,0.1,-2.26290680060727,0.0407329844120508,0.140115356247076,"Converged",FALSE,19,31,16,34,"MLE",0.95,0.05
11,0.25,-1.93341159893348,-0.063909341240308,0.137905589471486,"Converged",FALSE,23,31,19,27,"MLE",0.95,0.05
11,0.5,-2.27152597487592,0.0451862876359618,0.139599747262885,"Converged",FALSE,36,12,40,12,"MLE",0.95,0.05
11,0.75,-2.23374669839418,0.0318117214947164,0.139205385880486,"Converged",FALSE,32,18,27,23,"MLE",0.95,0.05
11,0.9,-2.38876469444442,0.0762722643177898,0.139740755892416,"Converged",FALSE,35,23,19,23,"MLE",0.95,0.05
12,0.1,-2.21142688673565,0.0554617805451561,0.147889725625404,"Converged",FALSE,44,4,47,5,"MLE",0.95,0.05
12,0.25,-2.0842476697705,0.0106689004037797,0.147554195224712,"Converged",FALSE,19,29,22,30,"MLE",0.95,0.05
12,0.5,-2.26980922827732,0.0726211878640221,0.147063013702516,"Converged",FALSE,41,12,35,12,"MLE",0.95,0.05
12,0.75,-2.30444039470982,0.080235777850262,0.147966988178594,"Converged",FALSE,33,19,29,19,"MLE",0.95,0.05
12,0.9,-2.01792924648592,-0.0111423340979601,0.147390194647211,"Converged",FALSE,41,24,11,24,"MLE",0.95,0.05
13,0.1,-2.19800985710714,-0.015337562846722,0.14689263240861,"Converged",FALSE,45,1,49,5,"MLE",0.95,0.05
13,0.25,-2.26018328815328,0.00555545607675133,0.147090230033108,"Converged",FALSE,17,35,15,33,"MLE",0.95,0.05
13,0.5,-2.24545262459691,0.000675135709471048,0.147079004943005,"Converged",FALSE,36,12,40,12,"MLE",0.95,0.05
13,0.75,-2.17725531650947,-0.022060393883344,0.147130855773794,"Converged",FALSE,32,22,26,20,"MLE",0.95,0.05
13,0.9,NA,NA,NA,"B-spline error",FALSE,51,24,3,22,"CC",0.95,0.05
14,0.1,-1.46221630054031,-0.158284602497729,0.120253894258149,"Converged",FALSE,37,11,48,4,"MLE",0.95,0.05
14,0.25,-1.45135385761209,-0.168015743994118,0.120008229031535,"Converged",FALSE,15,35,25,25,"MLE",0.95,0.05
14,0.5,-1.41027872641245,-0.178587891133669,0.120849713444569,"Converged",FALSE,40,12,36,12,"MLE",0.95,0.05
14,0.75,-1.60209637151656,-0.116633380364517,0.120336178611744,"Converged",FALSE,33,22,23,22,"MLE",0.95,0.05
14,0.9,-1.67562787882318,-0.0868696292331104,0.119774322985549,"Converged",FALSE,20,27,5,48,"MLE",0.95,0.05
