"sim","q","design","beta0","beta1","beta2","conv_msg","resampled_V","des_n00","des_n01","des_n10","des_n11","tpr","fpr"
1,0.9,"SRS",-1.99121102318911,2.12278240968993,0.119289712701152,"Converged",FALSE,5,61,4,30,0.95,0.05
1,0.9,"CC",-2.12038301129422,2.70629679068264,0.121975851002343,"Converged",FALSE,5,61,4,30,0.95,0.05
1,0.9,"BCC",-1.9804921988806,2.17932836742152,0.11899155236499,"Converged",FALSE,4,46,3,47,0.95,0.05
1,0.9,"RESID",-1.9604874634386,2.12846687238678,0.118857009093432,"Converged",FALSE,25,25,25,25,0.95,0.05
1,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,20,30,0,50,0.95,0.05
1,0.9,"OPTMLE",-1.97603540998199,2.11494752931981,0.118577327928118,"Converged",FALSE,46,12,28,14,0.95,0.05
2,0.9,"SRS",-2.18012765084658,2.59603099701491,0.099386999595159,"Converged",FALSE,6,65,3,26,0.95,0.05
2,0.9,"CC",-1.66979655847682,1.06928540931025,0.0973621604442844,"Converged",FALSE,6,65,3,26,0.95,0.05
2,0.9,"BCC",-1.93040627298492,1.77744139353057,0.0975804113174787,"Converged",FALSE,4,46,1,49,0.95,0.05
2,0.9,"RESID",-1.85963254351833,1.69271398951159,0.0976259117240621,"Converged",FALSE,25,25,25,25,0.95,0.05
2,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,12,38,1,49,0.95,0.05
2,0.9,"OPTMLE",-2.05109765822651,2.16709126520292,0.10123124714623,"Converged",FALSE,52,10,28,10,0.95,0.05
3,0.9,"SRS",-1.99411976912091,2.01984551519834,0.115644656767973,"Converged",FALSE,8,68,7,17,0.95,0.05
3,0.9,"CC",-1.96221425059019,1.83588667719021,0.117299105526701,"Converged",FALSE,8,68,7,17,0.95,0.05
3,0.9,"BCC",-1.94959359344245,1.96092681248947,0.116116836607192,"Converged",FALSE,5,45,6,44,0.95,0.05
3,0.9,"RESID",-2.0519881237112,2.19613684401142,0.119436796902555,"Converged",FALSE,25,25,25,25,0.95,0.05
3,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,20,30,0,50,0.95,0.05
3,0.9,"OPTMLE",-1.96505462344328,1.81936980055701,0.1167457147459,"Converged",FALSE,46,10,34,10,0.95,0.05
4,0.9,"SRS",-2.79331085139045,3.17469282680383,0.157811657633708,"Converged",FALSE,5,71,4,20,0.95,0.05
4,0.9,"CC",-2.59627054887261,2.64879462751892,0.155265962500423,"Converged",FALSE,5,71,4,20,0.95,0.05
4,0.9,"BCC",-2.6041600377413,2.58164647492474,0.157124858680919,"Converged",FALSE,5,45,5,45,0.95,0.05
4,0.9,"RESID",-2.68767312941472,3.00785103242831,0.158105258774075,"Converged",FALSE,26,26,23,25,0.95,0.05
4,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,19,31,0,50,0.95,0.05
4,0.9,"OPTMLE",NA,NA,NA,"B-spline error",FALSE,52,12,23,13,0.95,0.05
5,0.9,"SRS",-1.60672983080834,1.55730637243065,0.0449323572685158,"Converged",FALSE,11,67,3,19,0.95,0.05
5,0.9,"CC",-1.73424182545129,1.91021527603721,0.0450747760185061,"Converged",FALSE,11,67,3,19,0.95,0.05
5,0.9,"BCC",NA,NA,NA,"B-spline error",FALSE,3,47,7,43,0.95,0.05
5,0.9,"RESID",-1.65142616989379,1.76729671791594,0.0474092274240418,"Converged",FALSE,25,25,25,25,0.95,0.05
5,0.9,"SFS",NA,NA,NA,"B-spline error",FALSE,27,23,0,50,0.95,0.05
5,0.9,"OPTMLE",NA,NA,NA,"B-spline error",FALSE,47,10,33,10,0.95,0.05
6,0.9,"SRS",-1.94487786320006,1.85095928569994,0.110679266212966,"Converged",FALSE,6,68,2,24,0.95,0.05
