"sim","cc_beta0","cc_beta1","cc_beta2","cc_conv_msg","tpr","fpr"
1,-2.15488148901195,3.21565240203382,-0.130973546942937,"Converged",0.99,0.01
2,-1.45630420148797,1.0131069547127,-0.149269774632139,"Converged",0.99,0.01
3,-2.15033537537332,2.13366807611467,-0.0463313586301238,"Converged",0.99,0.01
4,-1.67965176739451,1.21454891451006,-0.098409313819596,"Converged",0.99,0.01
5,-1.88362137332558,1.56713074891186,-0.109066046512786,"Converged",0.99,0.01
6,-1.82735297617367,1.94298984973381,-0.116431874482716,"Converged",0.99,0.01
7,-2.27316624157472,2.4229393468271,-0.111785660417547,"Converged",0.99,0.01
8,-1.9609273244818,1.75160370218957,-0.0882802193792327,"Converged",0.99,0.01
9,-2.75641996827048,2.78871120307224,-0.0242979388867188,"Converged",0.99,0.01
10,-0.770558243932228,-1.84572394718875,-0.122704929870773,"Converged",0.99,0.01
11,-2.91129689107571,5.38430560136646,-0.151545265201885,"Converged",0.99,0.01
12,NA,NA,NA,"B-spline error",0.99,0.01
13,-2.23077799581211,2.47948619627943,-0.140650910832118,"Converged",0.99,0.01
14,-2.1073919483065,2.10424146458285,-0.0880996351202642,"Converged",0.99,0.01
15,-1.94890377557387,1.58510842736181,-0.0712894015446444,"Converged",0.99,0.01
16,-1.62493720254577,0.363608232296809,-0.0565374309413801,"Converged",0.99,0.01
17,-1.37129017392413,1.11581624161838,-0.173223039392669,"Converged",0.99,0.01
18,-2.17074465178884,2.33908378365286,-0.0864776601135005,"Converged",0.99,0.01
19,-1.30398080931505,1.05049046669739,-0.144103186970544,"Converged",0.99,0.01
20,-2.29725893376266,3.23921585985868,-0.124820082790129,"Converged",0.99,0.01
21,-2.11984270071531,1.96104015228616,-0.034864618182415,"Converged",0.99,0.01
22,-1.90269097017331,0.820328208863765,-0.0291951832364923,"Converged",0.99,0.01
23,-2.42032883304521,3.17472173419937,-0.0724613403866647,"Converged",0.99,0.01
24,-2.14866895581133,2.56605303265767,-0.101349867168916,"Converged",0.99,0.01
25,-2.07993228639606,2.00400519712179,-0.0704146806477032,"Converged",0.99,0.01
26,-1.96133742031853,1.98814855382358,-0.111631555669253,"Converged",0.99,0.01
27,-1.63404009832469,1.16073341766501,-0.0936264188151645,"Converged",0.99,0.01
28,-1.69798355489995,1.66873109007247,-0.181216785649934,"Converged",0.99,0.01
29,-2.90998446713415,4.00190579169653,-0.0403929962529687,"Converged",0.99,0.01
30,-1.551037161026,0.919597303920926,-0.0844060944737987,"Converged",0.99,0.01
31,-1.626881678913,1.20789856687387,-0.117758981487779,"Converged",0.99,0.01
32,-1.80536156021954,0.148853465719604,0.00727380118797607,"Converged",0.99,0.01
33,-1.49598632483879,0.917508314309973,-0.163638029955864,"Converged",0.99,0.01
34,-1.49646412858434,0.381457045835406,-0.102522327742358,"Converged",0.99,0.01
35,-1.94016190718686,1.75912640132256,-0.0853071843935498,"Converged",0.99,0.01
36,-2.20509055557351,2.33450479233579,-0.053953327031708,"Converged",0.99,0.01
37,-2.60451108761782,3.91332600367435,-0.0743483161353252,"Converged",0.99,0.01
38,-2.13037450967338,1.50953521872386,-0.0620265480037836,"Converged",0.99,0.01
39,-2.64725682540688,4.43909297936973,-0.132335246425991,"Converged",0.99,0.01
40,-2.00574088692352,2.93380973312402,-0.159167408687615,"Converged",0.99,0.01
41,-2.26786434013301,4.06934406172219,-0.203916573861059,"Converged",0.99,0.01
42,-2.14842843998273,2.09780728473962,-0.0626529512713772,"Converged",0.99,0.01
43,-1.88863813800493,1.76189545444687,-0.118359249120001,"Converged",0.99,0.01
44,NA,NA,NA,"B-spline error",0.99,0.01
45,-2.29368951628681,0.974612424506594,0.0172980233294666,"Converged",0.99,0.01
46,-1.70835255159267,1.40891036578465,-0.148013879941639,"Converged",0.99,0.01
47,-1.28001109628126,0.945164482655669,-0.170421421088062,"Converged",0.99,0.01
48,-1.53945616516711,1.27373102043163,-0.166610287921917,"Converged",0.99,0.01
49,-1.68103633329745,1.0247549724826,-0.109371591364741,"Converged",0.99,0.01
50,-1.58377177158014,1.56882277666658,-0.151902864602729,"Converged",0.99,0.01
51,-2.41835910158442,2.41027783151915,-0.0308345222352853,"Converged",0.99,0.01
52,-2.05137906991992,1.92727899349022,-0.115874790132107,"Converged",0.99,0.01
53,-2.1733886054757,3.08091880336467,-0.140015918288784,"Converged",0.99,0.01
54,-2.90876883105437,3.20416012357285,0.047070819138663,"Converged",0.99,0.01
55,-2.02364925842282,2.37384994222629,-0.113887372901883,"Converged",0.99,0.01
56,-1.90026478039901,2.41283522953732,-0.13695721334872,"Converged",0.99,0.01
57,-1.41108457376562,0.680947387280547,-0.12760776042916,"Converged",0.99,0.01
58,NA,NA,NA,"B-spline error",0.99,0.01
59,-2.02498948285653,1.65580334505784,-0.0461992882082012,"Converged",0.99,0.01
60,-2.02880322140433,1.72153067642204,-0.140138322935412,"Converged",0.99,0.01
61,-2.03659628033586,1.34418524725311,-0.012725146675169,"Converged",0.99,0.01
62,-2.46775717978736,2.67505334062553,-0.0180497314526553,"Converged",0.99,0.01
63,-1.84956805565198,1.68751638472727,-0.0970959751668786,"Converged",0.99,0.01
64,-2.01490609386266,1.42102015865121,-0.0599683846352548,"Converged",0.99,0.01
65,-1.85216897312959,1.73395309671145,-0.0693903126092663,"Converged",0.99,0.01
66,-1.63644110628189,1.05153750392129,-0.089451277194506,"Converged",0.99,0.01
67,-2.32620723831885,3.24853391712599,-0.124932743684649,"Converged",0.99,0.01
68,-2.20192132191655,2.7686360763752,-0.0810657071108091,"Converged",0.99,0.01
69,-1.84780588704062,1.07807864652198,-0.0894651061648766,"Converged",0.99,0.01
70,-1.5413017803297,0.463528649533263,-0.0674039304901878,"Converged",0.99,0.01
71,-2.09578799267355,1.37677838576605,-0.0410303367280829,"Converged",0.99,0.01
72,-2.13879691393829,2.62243971015747,-0.115942792436673,"Converged",0.99,0.01
73,NA,NA,NA,"B-spline error",0.99,0.01
74,NA,NA,NA,"B-spline error",0.99,0.01
75,-2.04218719315052,2.31874299768694,-0.0797796942334579,"Converged",0.99,0.01
76,-2.7966008773464,4.93970978553808,-0.128124825215294,"Converged",0.99,0.01
77,-2.31358921403375,1.77817006821996,-0.016591311431944,"Converged",0.99,0.01
78,-2.12016323346612,1.83088941363932,-0.00957178014445472,"Converged",0.99,0.01
79,-1.9477314898032,1.55719622879553,-0.0770496272074362,"Converged",0.99,0.01
80,-1.86407517843786,1.83729436993703,-0.0839383022417922,"Converged",0.99,0.01
81,-2.71933732207767,5.61989116853492,-0.194720129876587,"Converged",0.99,0.01
82,-1.58301783635383,1.37834368259759,-0.117527912361712,"Converged",0.99,0.01
83,-2.5531095702624,2.81225715379594,-0.0235815073945638,"Converged",0.99,0.01
84,NA,NA,NA,"B-spline error",0.99,0.01
85,-2.46697214876806,3.32897216561929,-0.0544344458949773,"Converged",0.99,0.01
86,-1.67652964294219,1.32857737400872,-0.110126635326444,"Converged",0.99,0.01
87,-2.07418727824473,2.91059504336314,-0.139071775658696,"Converged",0.99,0.01
88,-2.91941335329033,4.63893525438592,-0.109829374024315,"Converged",0.99,0.01
89,-2.19017711889308,3.27127289403825,-0.10909934741366,"Converged",0.99,0.01
90,-1.28060465096159,0.733483244097023,-0.184676088503249,"Converged",0.99,0.01
91,-2.01313605468152,2.54004835891034,-0.099650463614789,"Converged",0.99,0.01
92,-1.51162371122584,0.47810354075717,-0.0852239636202065,"Converged",0.99,0.01
93,-1.78863808387603,1.28694236406344,-0.0881560208088041,"Converged",0.99,0.01
94,-1.67770542183433,0.950129419236404,-0.129306279264249,"Converged",0.99,0.01
95,-2.36737368469834,2.92552142140791,-0.0533457669477312,"Converged",0.99,0.01
96,-1.91936958533302,1.64641156256364,-0.0627456221230881,"Converged",0.99,0.01
97,-1.73839041260676,1.42414116742301,-0.135695846569337,"Converged",0.99,0.01
98,-2.05102179122082,2.14467337264782,-0.11592765712698,"Converged",0.99,0.01
99,-2.08674519486483,2.59310121917464,-0.117920309881445,"Converged",0.99,0.01
100,-1.88142099815031,1.58975958084572,-0.0893173273614855,"Converged",0.99,0.01
101,-1.90066271281697,1.70079896100527,-0.113709261255071,"Converged",0.99,0.01
102,-1.65811655998219,1.91388413458343,-0.152292116605332,"Converged",0.99,0.01
103,-1.53426071486291,1.5135438173326,-0.148110553649645,"Converged",0.99,0.01
104,-2.44509084460573,4.24586180432302,-0.157930317051614,"Converged",0.99,0.01
105,-1.69164708876771,0.386296519737346,-0.0687828163482397,"Converged",0.99,0.01
106,-1.88343750532908,1.77308047030765,-0.0857731884442921,"Converged",0.99,0.01
107,NA,NA,NA,"B-spline error",0.99,0.01
108,-1.67988597493742,0.483834970654612,-0.0632368163508215,"Converged",0.99,0.01
109,-1.66587113262498,1.53581425849182,-0.133671763432254,"Converged",0.99,0.01
110,-2.26128105941142,2.9750769463321,-0.138759697598724,"Converged",0.99,0.01
111,-2.00818959465216,1.79684523264329,-0.0858846414076745,"Converged",0.99,0.01
112,-1.45626447701067,1.39013087887391,-0.196053100834948,"Converged",0.99,0.01
113,-1.56599627347911,1.88655732186207,-0.194233639928034,"Converged",0.99,0.01
114,-2.18216816306939,2.85314870902482,-0.0893316437921282,"Converged",0.99,0.01
115,-2.21604197139668,3.76346522197807,-0.15480936556786,"Converged",0.99,0.01
116,-1.7886714009977,1.58128043484637,-0.0869961353939888,"Converged",0.99,0.01
117,-1.49539717664951,0.423593913579752,-0.0927775220264902,"Converged",0.99,0.01
118,-1.58403756181608,0.898215639299907,-0.105283160193581,"Converged",0.99,0.01
